# c0-circularity,c0-dist_max,c0-dist_min,c0-dist_ratio,c0-irregularity,c0-irregularity2,c0-n2_avg,c0-n2_stddev,c0-n2_wavg,c0-n2_wdist,c0-n2_wiavg,c0-n_avg,c0-n_stddev,c0-n_wavg,c0-n_wdist,c0-n_wiavg,c0-perimeter,c0-roisize
1.566038489341735840e+00,1.581138801574707031e+01,3.605551242828369141e+00,2.280350923538208008e-01,5.953558683395385742e-01,5.409602075815200806e-02,2.674924468994140625e+01,1.229340648651123047e+01,2.144229492187500000e+03,8.395770263671875000e+01,1.196926951408386230e+00,1.027311172485351562e+02,5.805319213867187500e+01,8.143725097656250000e+03,8.395770263671875000e+01,4.680339336395263672e+00,1.010000000000000000e+02,3.310000000000000000e+02
1.649135828018188477e+00,1.788854408264160156e+01,4.242640495300292969e+00,2.371708303689956665e-01,7.869534492492675781e-01,9.779519587755203247e-02,4.272835922241210938e+01,2.244716262817382812e+01,3.590110351562500000e+03,9.168357849121093750e+01,1.955619573593139648e+00,9.058209228515625000e+01,5.253067398071289062e+01,7.536579101562500000e+03,9.168357849121093750e+01,4.195047378540039062e+00,1.070000000000000000e+02,3.350000000000000000e+02
1.572223067283630371e+00,2.024845695495605469e+01,4.000000000000000000e+00,1.975459158420562744e-01,6.580576896667480469e-01,8.052922785282135010e-02,9.871313476562500000e+01,5.295654296875000000e+01,1.242800390625000000e+04,1.412242431640625000e+02,3.267204999923706055e+00,9.475353240966796875e+01,6.139541244506835938e+01,1.162820214843750000e+04,1.412242431640625000e+02,3.212749719619750977e+00,1.240000000000000000e+02,4.950000000000000000e+02
1.661688446998596191e+00,1.878829383850097656e+01,5.000000000000000000e+00,2.661231458187103271e-01,7.880832552909851074e-01,1.047741025686264038e-01,3.941847991943359375e+01,1.908032226562500000e+01,3.687529785156250000e+03,1.007880401611328125e+02,1.728162527084350586e+00,1.078750000000000000e+02,6.157886886596679688e+01,9.950918945312500000e+03,1.007880401611328125e+02,4.845438957214355469e+00,1.130000000000000000e+02,3.680000000000000000e+02
1.477729678153991699e+00,1.513274574279785156e+01,4.242640495300292969e+00,2.803615927696228027e-01,5.504646897315979004e-01,4.330568760633468628e-02,3.893788909912109375e+01,2.114309310913085938e+01,2.561059082031250000e+03,7.026708221435546875e+01,1.689177513122558594e+00,1.065652160644531250e+02,6.263386154174804688e+01,6.969633300781250000e+03,7.026708221435546875e+01,4.622354507446289062e+00,9.400000000000000000e+01,3.220000000000000000e+02
1.501791238784790039e+00,1.788854408264160156e+01,4.242640495300292969e+00,2.371708303689956665e-01,6.582913994789123535e-01,7.720176875591278076e-02,4.653984451293945312e+01,2.723384094238281250e+01,4.055909912109375000e+03,9.507711791992187500e+01,1.761177778244018555e+00,8.819023132324218750e+01,5.645959091186523438e+01,7.620848144531250000e+03,9.507711791992187500e+01,3.348057270050048828e+00,1.050000000000000000e+02,3.890000000000000000e+02
1.795037150382995605e+00,2.109502220153808594e+01,4.242640495300292969e+00,2.011204510927200317e-01,7.325144410133361816e-01,8.915498107671737671e-02,7.803054809570312500e+01,3.810936355590820312e+01,1.025035644531250000e+04,1.395906372070312500e+02,2.684929847717285156e+00,1.100162963867187500e+02,6.072251892089843750e+01,1.433110351562500000e+04,1.395906372070312500e+02,3.856560707092285156e+00,1.410000000000000000e+02,4.910000000000000000e+02
1.611110329627990723e+00,1.788854408264160156e+01,4.000000000000000000e+00,2.236067950725555420e-01,7.457501292228698730e-01,1.004630550742149353e-01,2.186609649658203125e+01,1.106844997406005859e+01,1.899971557617187500e+03,9.680626678466796875e+01,9.109382629394531250e-01,9.624501800537109375e+01,5.640959548950195312e+01,8.214068359375000000e+03,9.680626678466796875e+01,4.043552398681640625e+00,1.070000000000000000e+02,3.510000000000000000e+02
1.665965795516967773e+00,2.061552810668945312e+01,5.385164737701416016e+00,2.612188756465911865e-01,7.736017107963562012e-01,1.209150105714797974e-01,6.129241180419921875e+01,3.021750640869140625e+01,7.648018066406250000e+03,1.275401763916015625e+02,2.018224716186523438e+00,9.731026458740234375e+01,5.622000503540039062e+01,1.209688867187500000e+04,1.275401763916015625e+02,3.214621543884277344e+00,1.250000000000000000e+02,4.480000000000000000e+02
1.643936872482299805e+00,1.886796188354492188e+01,5.385164737701416016e+00,2.854131758213043213e-01,7.009983658790588379e-01,1.108075529336929321e-01,3.380731582641601562e+01,1.590372753143310547e+01,3.444126708984375000e+03,1.126536560058593750e+02,1.438212394714355469e+00,1.049707336425781250e+02,5.795423507690429688e+01,1.049729492187500000e+04,1.126536560058593750e+02,4.604629993438720703e+00,1.180000000000000000e+02,4.100000000000000000e+02
